detail_list,mark
jalan gerbang poris no 08 eraphone,__label__positive
"JHA PHONE SHOP, Jalan Temanggung Bulu, Sawah, Danupayan, Temanggung Regency, Central Java(Samping SPBU Kampir danupayan bulu)",__label__positive
Ethnic Phone Cellular Jl. W.R Supratman No. 22 Jampiroso Lor,__label__positive
indie cell jorong ambacang magek no 35,__label__positive
Jalan gerbang poris no 08 eraphone bayu(Jalan gerbang poris no 08 eraphone bayu),__label__positive
jl gerbang poris no 8 eraphone (eraphone),__label__positive
jalan printis kemerdekaan no 66 kota banjar ( fadilah cell ) ,__label__positive
Jl Melatii gEerB4ang Poriis nom0r 8 Eraphone BAYU(lantAi bAwah),__label__positive
For you cell no.38 mrican caturtunggal depok sleman yogyakarta(atmajapanduu@gmail.com),__label__positive
"Genjoe Cell 2, Dalangan(genjoe cell 2

)",__label__positive
Riau Cell jl. wirakusuma km 4 perawang(konter ),__label__positive
Jl Melatii gEerB4ang Poriis no 28 Eraphone BAYU,__label__positive
jl. sudirmanbirugo ( ozone phone cell ) ,__label__positive
kwangkalan rt14 rw05(ai cell ringen2 keselatan),__label__positive
Mutiara Cell Plaza Jambu 2 Lt 1 No 19 (depan bintang Cell),__label__positive
Penjaringan di mall emporium lantai LG no 31a nama outlet slowlyyo(Depan transmart ),__label__positive
golf lake residence cluster Atlantic city 2 no.5 Jakarta barat kode post 11730 sebelom mall taman palem(golf lake residence cluster Atlantic city 2 no.5),__label__positive
"Fc phone singosaren plasa area bazar , jln gatot subroto solo ",__label__positive
jl gerbang poris no 8 eraphone,__label__positive
"SOFT PHONE STORE, Jalan S. Kadar Maron, Ngebel, Kedungumpul, Kandangan, Kabupat¨¦n Temanggung(cat abu tiang hijau)",__label__positive
"plaza atrium senen lantai LG no 80 toko luckystar cellular,  senen Jakarta pusat (lantai LG no 80 toko lukystar cellular )",__label__positive
Jlan Gerbang Bayu Tirto No. 08 Eraphone Poris Gaga,__label__positive
konter far gadget dawung,__label__positive
buana jaya Cell lantai 1 no 265 Mega Bekasi Hypermall,__label__positive
Buana Jaya Cell lantai 1 Blok G no.11 Megabekasi Hypermall,__label__positive
Jln Gerbang poris no 4 eraphone,__label__positive
Jalan Pluit karang ayu B 1 No B 1 bay walk mall tenan scoop lantay Gf depan cooffe been  penjaringan kode poss 14440 ,__label__positive
konter fortuna cell pakis sebelah utara pabrik gula pakis,__label__positive
"Jl Yahya, Ambalresmi, Ambal, Kebumen, Jawatengah. 54392(Konter Planet Phone)",__label__positive
Jalan Pulau Irian Mall SCP lantai UG (2) Tenant Funchibby,__label__positive
"Jalan Affandi No.22c,wahana cell Mrican, Caturtunggal, Sleman Regency, Special Region of Yogyakarta",__label__positive
"PT. GRAHA KARYA INFORMASI, RT.5/RW.2, Kuningan(Bellagio residences and mall unit OG 29)",__label__positive
golf lake residence cluster Atlantic city 2 no.5 Jakarta barat kode post 11730 sebelom mall taman palem,__label__positive
Jl gerB4ang Poriis no 08 Eraphone BAYU,__label__positive
"ERA PHONE SHOP, Jalan Maulana Hasanudin, RT.002/RW.004, Porisgaga, Batuc¨¦p¨¦r",__label__positive
"ciwaruga kel.taufik cell no.14 rt02 rw 07 ciwaruga jawa barat,kab.bandung barat,parongpong",__label__positive
"Konter Mandiri cell jln.tempurejo no.101 Rt/Rw 006/002 Wonojati
(Konter Mandiri Cell
)",__label__positive
jl mayjeen sutoyoo PGC mall felisahh cell,__label__positive
"ms2 cell jln imbanagara raya warung kulon rt 4 rw1
",__label__positive
"bangsri rt 1 rw 1 , belakang cahaya cell ",__label__positive
"golf lake residence cluster Atlantic city 2 no.5 Jakarta barat kode post 11730 sebelom mall taman palem
",__label__positive
obermain pondok indah mall 1 lantai 1(toko obermain),__label__positive
"Far Gadget store, Kios pasar dawun, depan wisata kembang desa ( kode pos 57781 )",__label__positive
harco mangga dua plaza blok a2  lantai 2 nomor 120(lantai 2 blok a2 nomor 120),__label__positive
Lippo plaza jember(Salsa disserts lt UG ),__label__positive
dibelakang mall living world alam sutera kp.margajaya RT 004/004 no.16(kontrakan haji Nasir rumah mamah Zayyan),__label__positive
Singosaren plasa FC phone konter belakang area bazar ,__label__positive
Raja Cell Desa sukamaju kecamatan sumber harta kabupaten musi rawas,__label__positive
"Perdana cell 2, jalan jenderal sudirman gumawang belitang(konter perdana cell 2)",__label__positive
jalan jendraaal Sudirman no 53 Cell Jojo,__label__positive
AW Cell Simo,__label__positive
jl Sidomulyo 3(my Cell ( konter pulsa)),__label__positive
Jl. hos cokroaminoto plaza baru ciledug toko jaya phone cell (lantai 2),__label__positive
"Dafi Cell Makassar, Lembo, Makassar City, South Sulawesi(mafs dafi Cell ibu Dahlia bur)",__label__positive
Toko Monas Selular plaza milenium lt.1 Medan,__label__positive
"Perempatan banjar tabang, Bebetin, Sawan ( 3R Cell dan crispy molen)",__label__positive
"Jl Teuku umar, jco mall boemi Kedaton Lampung kec Kedaton, bandar Lampung 35112, KOTA BANDAR LAMPUNG, KEDATON, LAMPUNG, ID, 35112",__label__positive
Konter MMPHONE BANGSALSARI Utara toko COYONG(Jalan stasiun pasar bangsalsari),__label__positive
Jl. Langenharjo No.19 Grogol Sukoharjo(Salamoru Electronic),__label__positive
"KONTER M CELL MARON, PERTIGAAN MARON ARAH KANDANG",__label__positive
Perum Airmas Plaza Blok i no 18/19,__label__positive
Konter Handoko Cell ( depan toko baju Mikha),__label__positive
mall itc BSD lt. UG blok f 3 A toko baju anak,__label__positive
jl. Tegal Rotan no.77 RT/RW 04/08 (gang madrasah masjid baiturahim (depan mall bxc) ),__label__positive
Jl MT haryono gedung medan mall lt 4 funworld (tempat permainan),__label__positive
"Ruko golden boulvard blok Q no.47 BSD plaza Tangerang selatan, KOTA TANGERANG SELATAN, SERPONG, BANTEN, ID, 15322",__label__positive
"apotek central farma, pasar plaza pandeglang(jl ahmad yani)",__label__positive
"Lippo Mall Kuta
jl. Kartika Plaza, link.Segera Kuta-Badung. Bali 80361. ( Kantor management Lippo Mall Kuta) Up.Wing Farida -081260490008",__label__positive
jl Lalamentik Oebufu samping master elektronik (blessing cell jln Lalamentik oebufu samping master elektronik oebufu),__label__positive
"Gedung Murata Lt.4, Ruko glodok plaza blok f no.93, glodok(Gedung Murata lt.4)",__label__positive
Mall itc cempaka mas lantai 4 blok J 825-827,__label__positive
"Komp. Margahayu raya, Jl. Jupiter Barat XII Blok N2 no 77 kelurahan Sekejati Kecamatan Buahbatu Bandung 40286(belakang Metro Indah Mall (pagar hitam depan lapang basket, yg ada plang kost putri))",__label__positive
Jl. Gatot subroto no.297 bandung(Counter handphone GH SHOP samping yogya gatsu),__label__positive
Ramen Ya Kuningan City Mall Lt.Ground ,__label__positive
"Jln Bakaran batu no 38(Pagar warna orange. Di sebelah laundry pelangi,depan ksm phoneshop)",__label__positive
Jl. Sudirman No. 1  Clinic Cell Seberang pegadaian,__label__positive
Jl Ronggolawe no 2 Cepu Kabupaten Blora (Counter Raya Cell Cepu),__label__positive
Mall pvj Resto saladbar hadi kitchen sampng kopi kenangan...Lantai CL.Sukajadi BANDUNG(RESTO SALADBAR HADI KITCHEN MALL PARIS VAN JAVA Lantai CL samping kopi kenangan Sukajadi Bandung),__label__positive
"jln.brigjen katamso(mall simpur center lantai dasar toko v2 cell blok.A5860
)",__label__positive
Jl Ronggolawe no 2 Cepu Kabupaten Blora(Raya Cell Cepu),__label__positive
"alex phone kios pasar pucang, bawang banjarnegara(alex phone bawang)",__label__positive
Jln raya jonggol cileungsi jatisari depan apotek K-24 citra indah Garden cell ,__label__positive
Zafana Cell Tugu Dawe Kebarat Dikit Utara JALAN,__label__positive
"Zafana Cell barat tugu Dawe
",__label__positive
"no.17.konter pulsa ria  cell rt 6 rw 6 selatan pt yamaha motor
",__label__positive
cibinong keradenan rt01 rw03 konter dodi cell dpn smkn 1 cibinong,__label__positive
F cellular plaza jambu dua blok B no 71(blok b),__label__positive
Ruko tekstil itc mangga dua blok C1 no 26-27,__label__positive
"Jalan puri indah raya blok ug, lippo Mall puri kembangan toko Victoria secret lantai ug , KOTA JAKARTA BARAT, KEMBANGAN, DKI JAKARTA, ID, 11630(Jalan puri indah raya blok ug, lippo Mall puri kembangan toko Victoria secret lantai ug , KOTA JAKARTA BARAT, KEMBANGAN, DKI JAKARTA, ID, 11630)",__label__positive
mall taman palem lt. LG blok. A lt. 58 toko handphone ( vivo store) (mall taman palem lt. LG blok. A lt. 58 toko handphone ( vivo store) ),__label__positive
jl dukuh V GG Volly RT 6/3 no 31 kel.dukuh warung sayur ibu sundari(Davin cell / bunda Gio),__label__positive
F Cellular Plaza Jambu Dua Blok B no 71 - 72,__label__positive
Jl. M. T. Haryono No.1(gedung uniplaza no A1 Medan ),__label__positive
Toko nature republic Lt.GF Hartono Mall Yogyakarta,__label__positive
Jl. MT Haryono erha skin kendari depan lippo plaza kendari kode pos : 93118,__label__positive
jl pemuda no 46 ambarawa (selecta cell ambarawa),__label__positive
"GPS CELL 2 Jebor, Jln Raya Demak - Kudus KM.03(Sebelah Kyna Bueaty SkinCare)",__label__positive
"jln.kangenan RT 01 RW 01  (Gg samping konter khana cell timur SD,telvon atau wa aja bila bingung)",__label__positive
jl padomasan Krajan 2 konter fais cell timur bengkel Fauzi motor,__label__positive
the northface plaza ambarrukmo lantai 2 jln laksda adisucipto caturtunggal depok sleman yogyakarta(toko the northface plaza ambarrukmo),__label__positive
krajan 2 fz cell blok m no 98,__label__positive
kp. malang nengah Rt04/02 desa Ciseeng kecamatan Ciseeng kabupaten bogor(konter Qbink Cell / Rumah pak Dede Supriadi),__label__positive
"buana jaya cell mantai 1 blok g no 11 megabekasi hypermall
",__label__positive
jl raya jabres pasar tengok(tokooke phone (samping gapura jabres)),__label__positive
"t9phoneshop tuksongo
",__label__positive
"Mutiara Cell 
Grand ITC Permata Hijau(Lantai 3 Blok C2 no 2-3)",__label__positive
fcellular nomor 71 72 plaza jambu dua ,__label__positive
jalan Ondo Rante no 14 rt 06 rw 05(jcc cell com),__label__positive
Jl. Kayen purwodadi konter Qeta-Qete Phone ,__label__positive
"BERSINAR CELULAR .. Ds. Semirejo , Dk. randangan Rt02/Rw03 , kec.gembong. kab. pati",__label__positive
golf lake residence cluster atlantic city 2 no.5 cengkareng timur 11730 sebelom mall taman palem,__label__positive
jl m  Al ikhlas rt 05 / rw 07(masuk gang Al ikhlas lurus sampai ada warung klontong lulu cell / Pom mini . belok kanan . lurus dikit ada pertigaan belok kanan),__label__positive
F Cellular Plaza Jambu Dua Blok B no 71-72(fcell),__label__positive
jl.karang jalak indah no 2 Sunyaragi Kesami Kota Cirebon(rexsa Cell ),__label__positive
"tuk9 T9phoneshop
",__label__positive
Novan cell  jl.raya subah no.68 rt.01 rw.07 tarub,__label__positive
perumahan Nilam depan plaza(blok A no 13),__label__positive
gedung pgc mall lantaii 3 zone hijau ,__label__positive
"jalan ra kumala siwi konter jb cell 

",__label__positive
jalan Mayjen sutoyo cililitan PGC Felisha cell lantai 3(lantai 3),__label__positive
"Kabanjahe Plaza LT 1 Jalan Sudirman, Gung Leto, Karo Regency, North Sumatra(JL JENDRAL SUDIRMAN NO 197)",__label__positive
TOKOOKE PHONE JL RAYA JABRES (tokooke phone(samping gapura jabres) ),__label__positive
perumahan her 2 gNg mengkudu blok m33(alwi cell dan olshop),__label__positive
Laras cell mcc blok k1 singosaren plaza surakarta,__label__positive
"Jl. KH. Muchtar Tabrani, RT.004/RW.002(Patokannya mey mey cell tanya Lisa ",__label__positive
"Jalan Perintis Kemerdekaan(no 66, fadilah cell )",__label__positive
"gang sandaka electronic , rt 1 / rw 3 , deket pos kamling rt 1 / rw 3 , kp poskulon",__label__positive
Juragan Handphone (jl A Yani no 63 ),__label__positive
"Rusun Pekunden Semarang Tengah Belakang Dp mall semarang(Lantai IV, Blok E, No 87)",__label__positive
"Jl. Mawar Blok B1 No 9 Komplek Puri Kartika Lama(Masuk samping Dian Plaza-Psr Lembang, setelah jembatan belok kiri)",__label__positive
Plaza Bunsay Lantai 1 Blok C Rukma kosmetik (Lantai 1 Blok C 1085-1086),__label__positive
"Jl. Pacar Sari, Manisrejo, Taman, Madiun City(jl pacar sari rt 20 rw 06 manisrejo madiun ( wibby Cell ))",__label__positive
Jl. M. Said No. 09 Samarinda ( Konter Ramadhan Cell ) (Konter Ramadhan Cell),__label__positive
Erafone Jl. jendral sudirman di depan Ramayana,__label__positive
"Central Cell ITS, Jalan Gebang Lor, Gebang Putih, Surabaya City, East Java(Toko Central Cell ITS Gebang
Jalan Gebang Lor No.48 Sukolilo Surabaya 60117)",__label__positive
dedong 77 Cell ,__label__positive
"Sinta fashion
gedung artos.depan kincai plaza
",__label__positive
"PT Dharmapala Adi perkasa,ruko harmoni plaza blok e 41,lantai 3, jalan suryopranoto Jakarta(Ruko harmoni plaza blok e 41 lantai 3)",__label__positive
jl bubutan (BG juntion mall lt LL stand air mata kucing depan transmart),__label__positive
"di konter indah cell sebrang masjid ruhul falah, ",__label__positive
Mutiara Cell Plaza Jambu 2 Lt 1 No 19 ,__label__positive
"Plaza Kuningan kav c11-14 Jalan Haji R. Rasuna Said, RT.2/RW.5, Karet Kuningan, Setiabudi, South Jakarta City, Jakarta(plaza kuningan menara utara(lobby depan))",__label__positive
"desa ayah rt 02/02, kec.ayah, kab.kebumen, jawa tengah toko DG PHONE & ACC(konter pulsa)",__label__positive
jalan itc cempaka mas blok hdr no 600,__label__positive
DQ Phone JL Pemandian km 6 surotrunan,__label__positive
40 cell pasar simpangpematang,__label__positive
"pusat grosir cililitan lantai 3 no 178-179 , falisha cell bos donyy ",__label__positive
"Konter vanara Phone, bawak japan 2/5",__label__positive
Ruko itc cempaka mas no 5 jalan superman,__label__positive
jln Abdul Wahab samping bakti karya toko aneka Cell 2(RT 03 RW 03 No 86),__label__positive
Jalan Raya Dawuhan RT/RW : 16/05 Tegalgondo(Marvel Cell (Lantai 2)),__label__positive
Klan. kartaradjiman rt 6 rw 6 no. 17 konter pulsa ria cell selatan PT ymha motor ,__label__positive
harco mangga dua plaza(blok a2 lantai 2 nomor 120),__label__positive
"abi sell blok c6 lantai dasar singosaren plaza, surakarta
",__label__positive
jalan maujen sutoyo mall pusat grosir Cililitan(lantai 3 zona ijoo nomer 179),__label__positive
jl.kasuari ling.kedawung lor (Utara Fajri Cell masuk gang paving ke timur atas nama khotib),__label__positive
Raihasa Cell (Kidul Candi Sambisari Kulon Ndalan),__label__positive
hypermall . .buana jaya cell lt. satu blok g no sebelas mega bekasi ,__label__positive
"jl.selajambe RE CELL RT 23/08 50 METER DARI KOLAM RENANG sG
",__label__positive
Ringgit Cell Baton Patereman Modung Bangkalan(konter dekat NC Mart),__label__positive
"Jalan Moses Gatotkaca No.29, Mrican, Caturtunggal(Mob gadget depan impact)",__label__positive
"Matahari Singosaren, Jalan Gatot Subroto(vista phone blok f68 matahari singosaren)",__label__positive
"buana jaya cell lt 1 blok g no.11 megabekasi hypermall
",__label__positive
Ruko itc cempaka mas blok g no 5 samsung service center (AFDA)(Ruko itc cempaka mas blok g no 5 samsung service center (AFDA)),__label__positive
Buana Jaya Cell lantai 1  No 7 Mega Bekasi Hypermall,__label__positive
ruko itc cempaka mas lt 5 samsung service center blok A no 3(blok A no 3),__label__positive
ruko itc cempaka mas lt 5 samsung service center blok A no 3,__label__positive
Lantai 4 ITC Cempaka mas no.600 blok.HDR(blok. HDR lantai 4 no.600 ITC Cempaka mas),__label__positive
Ruko ITC Cempaka Mas Jalan Doraemon No 55 AFDA,__label__positive
pgc cililitan mall zona hijau(felisa cell no 178),__label__positive
"JL. RAYA PAKISAJI NO.64 , KONTER NIRWANA CELL ( DEPAN SPBU PAKISAJI )",__label__positive
celine cell blok b1 b2 singosaren plasa depan pos satpam,__label__positive
"Jalan letjen panjaitan no 24 kia phone, bumirejo, kec kebumen, Kabupaten kebumen(Jalan letjen panjaitan no 24 kia phone)",__label__positive
"Plaza jambu 2 bantarjati, Jalan Jenderal Ahmad Yani, RT.01/RW.04, Bantarjati(toko intan mobile blok b2 no2)",__label__positive
"Abi Cell sebelah barat pabrik PT 2 kelinci
jln.raya pati-kudus km7

",__label__positive
buana jaya cell lantai 1 blok g no 11 megabekasi hypermall,__label__positive
depan kantor blk ( feti cell ) (rt 09),__label__positive
jl.jendral Sudirman Pasific place mall warung Leko lantai 4(lantai 4 restauran warung leko),__label__positive
"Mister Phone, sebelah terminal ngawen",__label__positive
cari aja counter buana jaya cell lt 1 nomor 49 mega bekasi Hypermalll(toko),__label__positive
"Conter new lois cell 9. DEPAN TOKO 45((NEW LOIS CELL 9 )jalan pracimantoro no 1, ngulu etan pracimantoro , TIMUR PASAR PRACI, DEPAN TOKO 45 )",__label__positive
jalan praci no 1. timur pasar praci (depan toko 45)(CONTER NEW LOISS CELL 9),__label__positive
Jln ITC CEMPAKA MAS LT 4 BLOK HDRNO 600,__label__positive
"Desa Canggu  ,depan masjid Al-Falah , Konter Canggu Cell ",__label__positive
buana jaya Cell lantai 1 blok g Mega Bekasi Hypermall,__label__positive
Pusat grosir cililitan Lt 3 zona hijau no 178 Felisha Cell kramat jati Jakarta timur,__label__positive
"ruko itc cempaka mas lt6 samsung service center blok
",__label__positive
Jl. ITC Senapan jaya p3b No 22,__label__positive
ruko ITC cempaka mas  no 5 jl Spiderman(Ruko),__label__positive
jl kapak no 4 ITC cempaka mas blok HDR lt4  sumur batu Kemayoran Jakarta,__label__positive
jln abdul wahab samping bakti karya toko aneka cell 2,__label__positive
"buana jaya cell lantai 1 no. 49 mega bekasi hypermal
",__label__positive
Kia Phone(Samping aroma parfume),__label__positive
Ruko itc cempaka mas blok g no 5 samsung service center (AFDA) krim ke afda aki,__label__positive
kiaphone jalan pandjaiatan no 23 kebumen,__label__positive
jalan cempaka mas itc blok6000 HDR,__label__positive
Jalan raya selanegara rt 01/rw 01 (Konter phone cell masuk gang (bapak Rojikin)),__label__positive
pusat grosir Cililitan (lantai 3 fellisa cell 179),__label__positive
jln.sutoyo mall pusat grosir Cililitan(nomer 179 feliisa cel),__label__positive
pgc Felisha cell no 178,__label__positive
dusun kunir rt001 rw002(konter brawijaya phone),__label__positive
"konter new star cell depan pabrik jarum jl wr supratman no 92 
",__label__positive
"JALAN HM SARBINI 86A, KRANGGAN, BUMIREJO, KEBUMEN 54316 (PLANET'S PHONE ACC)",__label__positive
jalann brawijaya 3286 BSM gang muaraa 11 taqy phone,__label__positive
"abi cell blok c6 lantai dasar singosaren moll, serengan, surakarta",__label__positive
jl Brigjen Katamso no A5 Bangkong plaza Semarang ( madu Nusantara)(madu Nusantara),__label__positive
"jl.mastrip (jl Mastrip depan SMA 1 Madiun , Mega cell )",__label__positive
konter djoss Cell depan baladesa windunegara ,__label__positive
jln.sutoyo mall pusat grosir Cililitan(zona ijo Felicia cell 179),__label__positive
"jl dharmahusada indah timur Blok  L184/36 ( seberang sogo galaxy mall )
",__label__positive
Amm cell jl. raya jalancagak no 15 samping alfamidi,__label__positive
"buana jaya cell lantai 1 blok g no 11 megabekasi hypermall
",__label__positive
"Buana Jaya Cell, RT.004/RW.001(Buana Jaya Cell No 11)",__label__positive
jln Abdul Wahab Cinangka Wates toko hp aneka cell no22c,__label__positive
"buana jaya cell lantai 1 blok g no 11 m3gabekasi hypermall(buana
)",__label__positive
"DSA PHONE, Jalan KH Agus Salim, Kranon(Depan SMKN2 WONOSARI)",__label__positive
"JALAN HM SARBINI 86A, KRANGGAN, BUMIREJO, KEBUMEN 54316(PLANET'S PHONE ACC)",__label__positive
PGc zona ijo(lantai 3 fellisa cell 179),__label__positive
"Jl. KHZ. Mustofa No.326, Tugujaya, Kec. Cihideung, Tasikmalaya, Jawa Barat 46126((asia plaza lantai satu foodhall tenant mister bebek))",__label__positive
Jl Wiroto no 20 toko hp bangphone,__label__positive
Ruko ITC Cempaka Mas Jalan SpongeBob No 45 AFDA,__label__positive
jl mayjeen sutoyoo pgc mall no 178 felisa cell,__label__positive
"Abi Selluler blok c6 lantai dasar singosaren plaza, serengan, surakarta",__label__positive
Fikri Cell Rimbulor RT 03 RW 04 Rejosari Karangawen Demak,__label__positive
JL. DHARMAHUSADA INDAH TIMUR (GALAXY MALL 1 LT. DASAR TOKO SEPATU BATA) ,__label__positive
jalan buana jaya cell lantai 1 blok g no 11,__label__positive
Jl. Jend Sudirman Mall Pekanbaru (Lt.2 Toko SAMSUNG PREMIUM STORE Blok B4-02-03),__label__positive
jln babarsari tb 16 geva cell caturtunggal depok sleman,__label__positive
Ruko itc cempaka mas blok g no 5 samsung service center (AFDA) (Ruko itc cempaka mas blok g no 5 samsung service center (AFDA)),__label__positive
jalan Soekarno 3 iwin cell (deepan taman sampangan),__label__positive
"abi selluler c6 singosaren plaza, solo(lantai dasar)",__label__positive
NjR Cell dusun Sukajadi RT 006B/002 desa Sukajadi (samping sekolah MAN Sukajadi),__label__positive
Buana Jaya Cell lantai 1 blok g no. 11 Mega Bekasi Hypermall,__label__positive
"PLAZA CIPUTAT MAS
JL. IR. H. JUANDA NO.5A BLOK A/F , REMPOA, CIPUTAT TIMUR, TANGERANG SELATAN(samping indomaret)",__label__positive
"Aeon Mall JGC, Jl. Orchid, RT.1/RW.8, East Cakung(loading dock)",__label__positive
ruko plaza cilincing blok b no.4  semper timur (Dp cilincing)(dekat hotel ethan),__label__positive
Rafa Kos (dekat chika cell bawen),__label__positive
Bima perkasa cell Arah banten Samping nasi padang sebelum indomaret,__label__positive
kawancell100@gmail.com(dekat konter kawan cell tasik aboh),__label__positive
Mangga dua mall (Lt.5 blok. B no. 59),__label__positive
harco mangga dua(harco mangga dua plaza blok a2 nomor 122 lantai 2),__label__positive
jl wisma tajur RT 04\10 (counter Prancis Cell seblm komplek wisma tajur),__label__positive
"Magnet cell Jln.Kolonel Sunandar 54B dari smk3 pati ngidul -+50m ruko no.5 kiri jalan, sebelum indomart 24jam(magnet cell)",__label__positive
"Outlet Breadtalk Mall Lippo Cikarang, Lantai dasar.",__label__positive
jl ibrahim adjie konter hp yoga phone(1lantai),__label__positive
buana jaya Cell lantai 1 no 49 Mega Bekasi Hypermall,__label__positive
"Nara cell jl.SMA 94, RT 6/RW.8 kel.semanan kec.kalideres kab.jakarta barat",__label__positive
"CLASIC, kompleks ruko latanete plaza (samping optik Melawai / berhadapan dengan bank BRI) jalan sungai Saddang lama. Makassar - Sulawesi Selatan
(kurir : wajib menghubungi sebelum pengantaran.)",__label__positive
Perumahan mbah mega bekasi Hypermall Buana Jaya cell no 12,__label__positive
"vp cell brayung 
",__label__positive
bcs mall lt 2 (store chatime ) batam,__label__positive
mall itc bsd lantai 1 blok a2 no 8/9(yes acc),__label__positive
pdomasan (blok fz cell depan bengkel krajan 2 faiz),__label__positive
arah pafomasan cong faiz(Agustinus fz cell 082302336446),__label__positive
Perumahan premiere residence B4 ( belakang asia plaza) jl.lukmanulhakim,__label__positive
JL JENDRAL SUDIRMAN NO 197(PLAZA KABANJAHE LT 1),__label__positive
rayaphone cepu sebelah kecamatan,__label__positive
the faceshop. plaza ambarukmo (jln laksda adisucipto. lantai G),__label__positive
Krajan 2padomasan fz Cell no hp 082302336446,__label__positive
"Jl. Casablanca Raya Kav. 88 RT14/5 Menteng Dalam Tebet Jakarta Selatan ( Parkiran Motor Umum Mall Kota Kasablanka ), KOTA JAKARTA SELATAN, TEBET, DKI JAKARTA, ID, 12870",__label__positive
ROTI'O Rabinza mall ,__label__positive
Jl. pemancungan no.3 rt 01 rw. 06(Ayra Cell Brilink),__label__positive
kirim ke F Cell plaza jambu dua ya kak(blok B 71-72),__label__positive
mall surya toserba jl.karanggetas ruko hp plaza cell lantai dasar,__label__positive
jalan Abdul Wahab Samping Bakti karya Aneka Cell 2(no 86),__label__positive
konter setunggalphone rt 03/rw01 ,__label__positive
Jl. Raya Serpong No. 39 Mall Wtc Matahari Serpong Blok G123 Toko Selular Shop Parkiran P1 Samping Kanan Pintu Masuk Lobby Timur Dekat Atm Center(Mall Wtc Matahari Serpong),__label__positive
buana jaya cell lantai 1 blok g no 11 m3gabekasi hypermall,__label__positive
"Pusat grosie cililitan FALISHA CELL 
(no 179/180 lantai 3 falisha cell )",__label__positive
jalan durian nomor 445 ERAPHONE dekat warung kopi bayu,__label__positive
jalan gerbang poris no 8 ERAPHONE dekat warung kopi bayu(dekat masjid agung Al Buchori),__label__positive
"plaza Kelapa Gading Blok c no 61
",__label__positive
"F Cellular , Plaza Jambu Dua Blok B no 71 - 72",__label__positive
T9phone tuksongo,__label__positive
Jl. G. Krakatau NoA4(Samping Plaza walpaper),__label__positive
btn mastrip blok D no 13(brother gadget store ),__label__positive
jln GerbaAng poOris no 4 eraAphone,__label__positive
Randu kuning 6/3 rione cell pati lor JawaTengah ,__label__positive
Jalan Mayjen Sutoyo Gedung PGC Lantai 3 Falisha Cell zona hijau ,__label__positive
jl gerbang poris no8 eraphone bayu cell,__label__positive
jl Gerbang Poris No 8 Eraphone (bayu),__label__positive
"Pusat Grosir Cililitan, Jalan Mayjen Sutoyo, RW.11(falissa cell 178-179)",__label__positive
Pusat Grosir Cililitan Lantai 3 felisha Celular no 178 ,__label__positive
TOKO FELISHA CELL PGC Cililitan,__label__positive
jalan Gerbang poris d8 no8 eraphone cell,__label__positive
buana jaya cell blog G(lantai 1 no 8 mega bekasi),__label__positive
Jl. Gerbang poris no 8 eraphone(eraphone),__label__positive
JL.raya mauk tanjakan Rajeg (Depan Tower) Tk.Setia Phone Cell ID 15540,__label__positive
amm cell (samping alfamidi) jalancagak-subang(toko),__label__positive
jl polonia no 1 beji ungaran timur ( deket SD beji 01 ) kabupaten semarang.. grosir phone(grosir phone),__label__positive
"Jln. Sangean plaza jambu dua, ke F CELL(F CELL JAMBU DUA)",__label__positive
F Celluar Plaza Jambu Dua Blok B No 71 - 72,__label__positive
Buana Jaya cell No 12,__label__positive
jl gerbang poris no 4 eraphone ,__label__positive
jalan gerbang Poris No 8 Eraphone(Bayu),__label__positive
jl gerbang ppppppporis no 8 eraphone bayu,__label__positive
bajso f Cell (nomer 72-73),__label__positive
jalan geeeerrrrbang poo00oris nomor 8 eraphone dekat dealer Bayu,__label__positive
jl gerbang poris no 4 eraphone,__label__positive
Jlan Gerbang Bayu NoMer 08 Eraphone Poris Gaga,__label__positive
Jl Gerbang Poris no 08 Eraphone,__label__positive
Jl. gerbang poris no 8 eraphone,__label__positive
jalan geeeerrrrbang poo00oris nomor 8 eraphone dekat dealer Bayu(rt.01 rw.02 dekat masjid agung Al-Istiqomah),__label__positive
Jln Dr Sutomo No 21A karang baru (MMC cell karang baru samping gang betoel),__label__positive
"Julie Cell jln Tentara Pelajar km 17 Pulowatu, Purwobinangun no 17, Purwobinangun Pakem(Depan Alfamart Pulowatu)",__label__positive
Jl. g3rb4n9 p0r1s n0m0r 8 3raphone,__label__positive
"PEGECE ,FLOOR THREE , falisha cell bos donyy ",__label__positive
F cellular plaza jambu dua blok B no 71-72(F CELL),__label__positive
F cellular plaza jambu dua blok B no 71(blok B),__label__positive
(No Hp Customer 089601219842) Jln Padjajaran Ruko Pamulang Plaza Blok B No 4 RT 02 RW 01,__label__positive
buana jaya cell lantai 1 no 265 MARGAJAYA mega bekasi hypermall,__label__positive
jalan geeeerrrrbang poo00oris nomor 8 eraphone dekat dealer Bayu(dekat masjid agung Al-Istiqomah),__label__positive
Jl Gerbang Poris No 8 Bayu Eraphone(No 8),__label__positive
lantai 3 pgc Felisha Cell Pusat grosir cililitan (di lantai 3. tio pgc falisha cell),__label__positive
plaza pondok gede blok c no 21 Top cell,__label__positive
DALAM PS MALL TOKO VIVO STORE DEPAN IBOX (-),__label__positive
Jl. g3rb4n9 p0ris no 8 3r4phone,__label__positive
"PEGECE ,FLOOR THREE , falisha cell  SEMOGA LOLOS ",__label__positive
